wavenumbers, Ux, Uy
0.0189, 0.04080321581164535, 4.931023614465142
0.0252, -0.0063839580283231055, 4.67156221449911
0.0315, 5.465616250494203, -1.3820953356539463
0.0378, 6.843419976924507, -1.7008775689002291
0.0441, -0.06842494531647769, -1.7412880080942046
0.0504, -0.2189870159218544, -1.7082924430882498
0.0567, -0.40361299395675704, -1.4865772482402784
0.063, -0.27133025346588496, -1.4648924754378545
0.0693, -0.45061903024070943, -1.0340065142951467
0.0756, -0.31840580195614093, -0.9442123910137061
0.0819, -0.3584199049911173, -0.5926518332253807
0.0882, -0.13429253945309477, -0.5944216533111573
0.0945, -0.5118925996751473, -0.25865557890905816
0.1008, -0.4279120543193972, -0.2421963827218243
0.1071, -0.4428936043214754, -0.0993876103512838
0.1134, -0.3454506260603716, -0.10044150987973934
0.1197, -0.37717528442160525, -0.04660677634899639
0.126, -0.3497206093993731, -0.033207562833983295
0.1323, -1.4508674045884977, 0.2229120636200562
0.1386, -1.282707935052597, 0.23915343680561693
0.1449, -0.8204668627914359, 0.17008711931959453
0.1512, -0.7778731286756445, 0.1478855562555335
0.1575, -0.6509719418448533, 0.11928841713338086
0.1638, -0.611644880846988, 0.09006674561316451
0.1701, 0.03803719241761095, 0.05997860647798572
0.1764, 0.07214719383864791, 0.12314859729827286
0.1827, 0.070296372259551, 0.2629691200233087
0.189, 0.07958478449387904, 0.33276892007031483
0.1953, 0.15388830748740903, 0.5749559496020191
0.2016, 0.26047550522740476, 0.9975643023177845
0.2079, 0.07881732982789805, 0.2843842970495197
0.2142, -0.12806040827746276, -0.42869212838968607
0.2205, -0.029482344148470323, -0.28120357084851166
0.2268, -0.20363086410940734, -0.21897147665883215
0.2331, 0.09971212192674246, -0.23040236164929398
0.2394, 0.09421610363775827, 0.8246486399933451
0.2457, 0.05084364748950524, 0.4923864599689075
0.252, -0.16907663574007314, -0.2907764021518402
0.2583, -0.12475861601466838, -0.5913245203719617
0.2646, -0.1583687125004079, -0.9620281178008822
0.27090000000000003, -0.07602864372174839, -0.2905751664644572
0.2772, -0.09718346787791085, -0.1805386554507454
0.2835, -0.04163255540803642, -0.33252549568369016
0.28980000000000006, 0.01956362703377957, -0.7086100535485582
0.29610000000000003, -0.058082330896768876, -0.1516428533546745
0.3024, 0.10563627666687794, -0.4546966928282059
0.3087, -0.06594086687381043, -0.4702450314629491
0.31500000000000006, 0.222070493361083, -0.00128106858237437
0.32130000000000003, 0.06275736522751083, 0.6289075291874436
0.3276, 0.13292366831611185, 0.22068648161671822
0.3339, -0.07359445425151627, -0.33704597226671096
0.34020000000000006, -0.2422811897812056, -0.3363993751394756
0.34650000000000003, 0.211538353363453, -0.4395926936174176
0.3528, -0.1000441553953635, 0.2265097871099282
0.3591, -0.0912680863077895, 0.23271150070105864
